PF_CORP, COMPANY, LEGAL_NAME, DBA_NAME, ADDRESS1, ADDRESS2, CITY, STATE, POSTAL, NAICS, FEDERAL_EIN, STATE_DOL#, LEGAL_STATUS, CLIENT_PHONE, CLIENT_FAX, EMAIL_ADDR, FILING_DESCR, ADDRESS1_1, ADDRESS2_1, CITY_1, STATE_1, POSTAL_1, DBL_MALES, DBL_FEMALES, PFL_MALES, PFL_FEMALES, COVERED_ANNUAL_PAYROLL, STATUS, STATUS_DATE, CANCEL_REASON
"PEOUS","U6F","The Petey Greene Program Inc."," ","9 Mercer St","2nd Fl","Princeton","NJ",08540,"611699", 300499760, ,"Corporation"," "," "," ","WeWork Penn Station","315 W 36th Street",,"New York","NY",10018,2,2,2,2,208356,"ADD",04/11/2018," "
"PEOUS","NK0","Qapital, Inc."," ","304 Hudson Street","Suite 505","New York","NY",10013,"511210", 471161945, ,"Corporation"," "," "," ","Qapital, Inc.-HQ","304 Hudson Street","Suite 505","New York","NY",10013,9,3,9,3,805250,"ADD",04/11/2018," "
"PEO01","SOY","Curoverse Innovations, Inc"," ","212 Elm Street 3rd Floor",,"Somerville","MA",02144,"518210", 820858075, ,"Corporation"," "," "," ","Ithaca Remote Office",,,,"NY",,1,0,1,0,80250,"ADD",04/11/2018," "
"PEO01","DCR","Social Bicycles Inc."," ","55 Prospect Street","Suite 304","Brooklyn","NY",11201,"532284", 273416764, ,"Corporation"," "," "," ","Social Bicycles-HQ","55 Prospect Street","Suite 304","Brooklyn","NY",11201,26,5,26,5,3228462,"ADD",04/11/2018," "
"PEO02","GFN","The Kochin Group LLC"," ","551 5th Avenue","Suite 2500","New York","NY",10176,"523930", 134052076, ,"Limited Liability Company"," "," "," ","The Kochin Group LLC-HQ","551 5th Avenue","Suite 2500","New York","NY",10176,6,1,6,1,804140,"ADD",04/11/2018," "
"PEO01","C6P","SABR Capital Management LLC"," ","C/O Pinnacle Associates","335 Madison Avenue","New York","NY",10017-4627,"523920", 461022864, ,"Limited Liability Company"," "," "," ","SABR Capital Management, LL-HQ","C/O Pinnacle Associates","335 Madison Avenue","New York","NY",10017-4627,3,0,3,0,60840,"ADD",04/11/2018," "
"PEOUS","BDV","Ipowow USA Inc."," ","11500 Olympic Blvd., Suite 400",,"Los Angeles","CA",90064,"511210", 271195689, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,4,1,4,1,289000,"ADD",04/11/2018," "
"PEOUS","L6Z","Versasec, LLC"," ","175 Varick Street","5th Floor","New York","NY",10014,"541511", 473446837, ,"Limited Liability Company"," "," "," ","Versasec LLC-HQ","175 Varick Street","5th Floor","New York","NY",10014,1,0,1,0,78000,"ADD",04/11/2018," "
"PEO02","G5D","Adakin Capital, LLC"," ","212 East 39th Street",,"New York","NY",10016,"523930", 800282531, ,"Limited Liability Company"," "," "," ","Adakin Capital, LLC-HQ","212 East 39th Street",,"New York","NY",10016,2,3,2,3,735000,"ADD",04/11/2018," "
"PEO02","GIA","Spruceview Capital Partners LLC"," ","100 High Street","Suite 1101","Boston","MA",02110,"523920", 460560006, ,"Limited Liability Company"," "," "," ","NEW YORK NY 10019-2701","9 W 57TH ST FL 33",,"NEW YORK","NY",10019-2701,1,1,1,1,560000,"ADD",04/11/2018," "
"PEOUS","TVB","Madler Media Inc."," ","3129 34th St","3A","Long Island City","NY",11106,"512110", 821215267, ,"Corporation"," "," "," ","Madler Media Inc.-HQ","3129 34th St","3A","Long Island City","NY",11106,1,0,1,0,21632,"ADD",04/11/2018," "
"PEO04","QTD","SPECIALTY ROLLED METALS, LLC"," ","423 SAINT PAUL BLVD",,"CAROL STREAM","IL",60188,"423510", 364343051, ,"Corporation"," "," "," ","SRM- NY EE'S HOME ADDRESS","408 MACKAY AVE",,"SYRACUSE","NY",13219,1,1,1,1,733000,"ADD",04/11/2018," "
"PEO01","CYV","GBS Finance, LLC"," ","135 E 57 Street","Floor 16","New York","NY",10022,"525910", 990378596, ,"Limited Liability Company"," "," "," ","GBS Finance LLC-HQ","135 E 57 Street","Floor 16","New York","NY",10022,0,1,0,1,110000,"ADD",04/11/2018," "
"PEO02","S34","LabCo NYC, LLC"," ","228 Park Ave S","57718","New York","NY",10003,"511210", 820605223, ,"Limited Liability Company"," "," "," ","LabCo NYC, LLC-HQ","228 Park Ave S","57718","New York","NY",10003,5,1,5,1,305208,"ADD",04/11/2018," "
"PEO02","G40","MQS Management, LLC"," ","41 Madison","34th Floor","New York","NY",10010,"523920", 261378235, ,"Limited Liability Company"," "," "," ","MQS Management, LLC-HQ","41 Madison","34th Floor","New York","NY",10010,10,1,10,1,1532511,"ADD",04/11/2018," "
"PEOUS","CKX","Helix Workspace 535, LLC"," ","535 Fifth Avenue",,"New York","NY",10017,"525990", 464149920, ,"Limited Liability Company"," "," "," ","Helix Workspace 535, LLC HQ","535 Fifth Avenue",,"New York","NY",10017,0,1,0,1,50000,"ADD",04/11/2018," "
"PEO02","GFU","Harvest Partners, LP"," ","280 Park Avenue","25th Floor","New York","NY",10017,"523920", 204440435, ,"Limited Partnership"," "," "," ","Harvest Partners, LP-HQ","280 Park Avenue","25th Floor","New York","NY",10017,23,11,23,11,7517000,"ADD",04/11/2018," "
"PEOUS","AMO","Ugam Solutions SEZ Pvt Ltd"," ","300 East 59th St","Suite 1902","New York","NY",10022,"541910", 980626816, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,122400,"ADD",04/11/2018," "
"PEO05","R6H","KRYSTAL FRUITS & VEGETABLES INC."," ","461 RAILROAD AVENUE",,"WESTBURY","NY",11590,"424480", 113462902, ,"Corporation"," "," "," ","KRYSTAL FRUITS & VEGETABLES HQ","461 RAILROAD AVENUE",,"WESTBURY","NY",11590,32,29,32,29,2474472,"ADD",04/11/2018," "
"PEO02","LKX","Concord Resource Limited"," ","320 Park Avenue",,"New York City","NY",10022,"523130", 981270666, ,"Corporation"," "," "," ","HQ","320 Park Avenue",,"New York City","NY",10022,9,3,9,3,1436000,"ADD",04/11/2018," "
"PEOUS","KDI","The Coveteur LLC"," ","45 Howard St","3rd Floor","New York","NY",10013,"454110", 461000383, ,"Limited Liability Company"," "," "," ","The Coveteur-HQ","45 Howard St","3rd Floor","New York","NY",10013,3,28,3,28,2488420,"ADD",04/11/2018," "
"PEOUS","SRG","The Quad Preparatory School"," ","25 Pine Street","4th Floor","New York","NY",10005,"611110", 465652622, ,"Corporation"," "," "," ","The Quad Preparatory School-HQ","25 Pine Street","4th Floor","New York","NY",10005,26,60,26,60,4506030,"ADD",04/11/2018," "
"PEO02","LDU","Hunting Hill Global Capital LLC"," ","420 Lexington Ave","Suite 2650","New York","NY",10170,"523920", 900598062, ,"Limited Liability Company"," "," "," ","HQ","420 Lexington Ave","Suite 2650","New York","NY",10170,4,1,4,1,980000,"ADD",04/11/2018," "
"PEOUS","PN2","Newmake, Inc."," ","261 Madison Avenue","9th Floor","New York","NY",10016,"541511", 820773193, ,"Corporation"," "," "," ","Newmake, Inc.-HQ","261 Madison Avenue","9th Floor","New York","NY",10016,0,1,0,1,75000,"ADD",04/11/2018," "
"PEOUS","JGJ","McCourt Family Services LLC"," ","9420 Wilshire Blvd","3rd Floor","Beverly Hills","CA",90212,"814110", 471156553, ,"Limited Liability Company"," "," "," ","NY Residence",,,,"NY",,0,2,0,2,112263,"ADD",04/11/2018," "
"PEOUS","MBY","Vytaliz Medical PC"," ","221 River Street","9th Floor","Hoboken","NJ",07030,"621111", 473041965, ,"Corporation"," "," "," ","Office NY","298 Fifth Ave","4th FL","New York","NY",10001,2,6,2,6,646648,"ADD",04/11/2018," "
"PEO05","RRH","G AND G MATERIALS CORP"," ","1234 LINCOLN TERRACE",,"PEEKSKILL","NY",10566,"561730", 822280181, ,"Corporation"," "," "," ","G  AND G MATERIALS CORP-HQ","1234 LINCOLN TERRACE",,"PEEKSKILL","NY",10566,3,1,3,1,261654,"ADD",04/11/2018," "
"PEO05","U13","Hurricane Strauss, Inc."," ","246 W 18th St",,"New York","NY",10011,"722511", 800369235, ,"Corporation"," "," "," ","Westville Chelsea-HQ","246 W 18th St",,"New York","NY",10011,92,25,92,25,2675353,"ADD",04/11/2018," "
"PEOUS","IZW","Immigration Equality, Inc."," ","40 Exchange Pl","Suite 1300","New York","NY",10005,"541110", 133802711, ,"Corporation"," "," "," ","Immigration Equality, Inc.-HQ","40 Exchange Pl","Suite 1300","New York","NY",10005,10,7,10,7,1082730,"ADD",04/11/2018," "
"PEO01","IGM","VigLink, Inc."," ","505 Sansome St","Suite 1450","San Francisco","CA",94111,"519130", 943474661, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,175000,"ADD",04/11/2018," "
"PEOUS","E3A","FreshPlanet, Inc."," ","381 Park Ave South","16th Floor","New York","NY",10016,"511210", 270444715, ,"Corporation"," "," "," ","FreshPlanet-HQ","381 Park Ave South","16th Floor","New York","NY",10016,9,5,9,5,1685431,"ADD",04/11/2018," "
"PEO02","GE2","Managed Funds Association"," ","600 14th St NW","Ste 900","Washington","DC",20005,"813910", 770277826, ,"Association"," "," "," ","New York NY 10036","546 5th Ave, 12th floor",,"New York","NY",10036,1,7,1,7,1542914,"ADD",04/11/2018," "
"PEOUS","SWK","Techonomy Media, Inc."," ","311 W 43rd St","12th Floor","New York","NY",10036,"519130", 275113545, ,"Corporation"," "," "," ","Techonomy Media, Inc.-HQ","311 W 43rd St","12th Floor","New York","NY",10036,3,2,3,2,654819,"ADD",04/11/2018," "
"PEO02","GLM","Heyman Properties II, LLC"," ","445 Hamilton Ave","Suite 601","White Plains","NY",10601,"523920", 900954184, ,"Limited Liability Company"," "," "," ","Heyman Properties II, LLC-HQ","445 Hamilton Ave","Suite 601","White Plains","NY",10601,1,0,1,0,223140,"ADD",04/11/2018," "
"PEOUS","OLU","The Cat Doctor Veterinary Hospital P.C."," ","290 Denton Ave","2221 Hillside Avenue","New Hyde Park","NY",11040,"541940", 464198926, ,"Corporation"," "," "," ","Cat Doctor Veterinary Hospi-HQ","290 Denton Ave","2221 Hillside Avenue","New Hyde Park","NY",11040,4,4,4,4,328680,"ADD",04/11/2018," "
"PEOUS","K7X","Klara Technologies Inc."," ","1 State Street Plaza",,"New York","NY",10004,"511210", 465131250, ,"Corporation"," "," "," ","Klara-HQ","1 State Street Plaza",,"New York","NY",10004,9,3,9,3,927000,"ADD",04/11/2018," "
"PEOUS","IZS","Econify LLC"," ","111E 14th St","#272","New York","NY",10003,"541511", 274465595, ,"Limited Liability Company"," "," "," ","Econify LLC-HQ","111E 14th St","#272","New York","NY",10003,11,1,11,1,1560000,"ADD",04/11/2018," "
"PEO01","HTH","Head in the Cloud, Inc."," ","220A Twin Dolphin Drive",,"Redwood City","CA",94065,"541512", 451219093, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,75900,"ADD",04/11/2018," "
"PEOUS","JNK","Lokai Holdings, LLC"," ","36 East 31st Street","Suite 602","New York","NY",10016,"454110", 452856118, ,"Limited Liability Company"," "," "," ","Lokai Holdings, LLC-HQ","36 East 31st Street","Suite 602","New York","NY",10016,6,10,6,10,1939500,"ADD",04/11/2018," "
"PEOUS","LZS","Primary Insight, LLC"," ","335 Madison Avenue","16th Floor","New York","NY",10007,"541611", 264486426, ,"Limited Liability Company"," "," "," ","Primary Insight LLC-HQ","335 Madison Avenue","16th Floor","New York","NY",10007,8,2,8,2,642000,"ADD",04/11/2018," "
"PEOUS","MHU","Matrix Electrical Contracting Inc."," ","50 Broadway","23rd Floor","New York","NY",10004,"238210", 161774627, ,"Corporation"," "," "," ","Matrix Electrical Contracti","50 Broadway","23rd Floor","New York","NY",10004,95,2,95,2,5241780,"ADD",04/11/2018," "
"PEOUS","IRP","BKForex LLC"," ","233 West 77th Street","Suite 11G","New York","NY",10024,"523110", 455456350, ,"Limited Liability Company"," "," "," ","BKForex LLC-HQ","233 West 77th Street","Suite 11G","New York","NY",10024,1,0,1,0,36000,"ADD",04/11/2018," "
"PEOUS","JD0","Spark Revenue, LLC"," ","209 N. Vermont St.",,"Covington","LA",70433,"523910", 260846570, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,84400,"ADD",04/11/2018," "
"PEO02","G5V","Barlow Partners Inc."," ","825 Third Avenue","31st Floor","New York","NY",10022,"523930", 133744242, ,"Corporation"," "," "," ","Barlow Partners Inc.-HQ","825 Third Avenue","31st Floor","New York","NY",10022,0,2,0,2,247476,"ADD",04/11/2018," "
"PEOUS","UGR","DEC Interactive LLC"," ","79 Madison Avenue","9th Floor","New York","NY",10016,"519130", 262831498, ,"Corporation"," "," "," ","RealtyMX-HQ","79 Madison Avenue","9th Floor","New York","NY",10016,3,0,3,0,252000,"ADD",04/11/2018," "
"PEOUS","S3W","DotAlign, Inc."," ","110 Fifth Avenue","5th Floor","New York","NY",10011,"511210", 800497656, ,"Corporation"," "," "," ","DotAlign, Inc.-HQ","110 Fifth Avenue","5th Floor","New York","NY",10011,9,3,9,3,1381900,"ADD",04/11/2018," "
